RFID,"User Name","User Remark","Payment ID",Location,"Source name","Fetch Count","Vol Taken[L]",Balance[L],Datetime
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",187,0.83,2623.17,"27-04-2025 15:43"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",186,0,2624,"27-04-2025 15:43"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",185,0,2624.87,"27-04-2025 15:43"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",185,4.84,2624.87,"27-04-2025 15:43"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",184,7.86,2629.7,"27-04-2025 15:42"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",183,0,2637.56,"27-04-2025 15:42"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",183,0,2637.56,"27-04-2025 15:40"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",183,10.33,2637.56,"27-04-2025 15:39"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",182,0.76,2647.89,"27-04-2025 15:38"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",181,0.31,2648.65,"27-04-2025 15:38"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",181,0,2648.65,"27-04-2025 15:38"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:23"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:23"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:23"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:23"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:22"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:22"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:22"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:22"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:21"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:21"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:20"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:20"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:20"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:20"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:19"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:19"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:18"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:18"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:17"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:17"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:17"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:17"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:16"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:16"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:16"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:15"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:15"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:14"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:12"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:11"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:11"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:11"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,0,0,"27-04-2025 15:11"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",54,7.07,0.46,"27-04-2025 15:10"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",53,0,7.52,"27-04-2025 15:09"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",53,7.23,7.52,"27-04-2025 15:09"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",52,5.16,14.75,"27-04-2025 15:08"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",51,0,19.91,"27-04-2025 15:07"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",51,0.05,19.91,"27-04-2025 15:06"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",51,0,19.91,"27-04-2025 15:06"
36149122,"BUKATIRA PS_166",,099008166,"Semuto , Nakaseke","Bukatira PS",51,0,19.91,"27-04-2025 15:06"
10030117,"BUKATIRA PS_163",,099008163,"Semuto , Nakaseke","Bukatira PS",25,25.14,133.02,"27-04-2025 12:47"
20966422,"BUKATIRA PS_162",,099008162,"Semuto , Nakaseke","Bukatira PS",13,24.23,475.77,"27-04-2025 12:44"
20966422,"BUKATIRA PS_162",,099008162,"Semuto , Nakaseke","Bukatira PS",12,0,500,"27-04-2025 12:40"
14819411,"BUKATIRA PS_155",,099008155,"Semuto , Nakaseke","Bukatira PS",46,9.27,39.68,"27-04-2025 12:32"
14819411,"BUKATIRA PS_155",,099008155,"Semuto , Nakaseke","Bukatira PS",45,2.33,48.95,"27-04-2025 12:30"
14819411,"BUKATIRA PS_155",,099008155,"Semuto , Nakaseke","Bukatira PS",44,0,51.28,"27-04-2025 12:30"
14114519,"BUKATIRA PS_015",,099008015,"Semuto , Nakaseke","Bukatira PS",101,22.63,545.11,"27-04-2025 12:15"
14114519,"BUKATIRA PS_015",,099008015,"Semuto , Nakaseke","Bukatira PS",100,0,567.74,"27-04-2025 12:13"
14815411,"BUKATIRA PS_199",,099008199,"Semuto , Nakaseke","Bukatira PS",7,12.41,747.82,"27-04-2025 12:13"
14815411,"BUKATIRA PS_199",,099008199,"Semuto , Nakaseke","Bukatira PS",6,0,760.23,"27-04-2025 12:11"
14815411,"BUKATIRA PS_199",,099008199,"Semuto , Nakaseke","Bukatira PS",6,22.89,760.23,"27-04-2025 12:11"
14815411,"BUKATIRA PS_199",,099008199,"Semuto , Nakaseke","Bukatira PS",5,0,783.12,"27-04-2025 12:09"
84216121,"BUKATIRA PS_158",,099008158,"Semuto , Nakaseke","Bukatira PS",44,0.68,588.75,"27-04-2025 12:08"
84216121,"BUKATIRA PS_158",,099008158,"Semuto , Nakaseke","Bukatira PS",43,43.07,589.43,"27-04-2025 12:07"
84216121,"BUKATIRA PS_158",,099008158,"Semuto , Nakaseke","Bukatira PS",42,0,632.5,"27-04-2025 12:03"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",32,24.36,390.11,"27-04-2025 11:40"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",31,0,414.47,"27-04-2025 11:38"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",31,23.07,414.47,"27-04-2025 11:37"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",30,0,437.54,"27-04-2025 11:34"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",30,18.73,437.54,"27-04-2025 11:33"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",38,0,177.18,"27-04-2025 11:29"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",38,0,177.18,"27-04-2025 11:29"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",38,23.97,177.18,"27-04-2025 11:28"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",37,0,201.15,"27-04-2025 11:26"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",37,24.12,201.15,"27-04-2025 11:26"
13216411,"BUKATIRA PS_185",,099008185,"Semuto , Nakaseke","Bukatira PS",36,0,225.28,"27-04-2025 11:23"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",66,6.62,193.88,"27-04-2025 11:22"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",65,5.36,200.5,"27-04-2025 11:21"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",64,0,205.85,"27-04-2025 11:20"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",64,13.36,205.85,"27-04-2025 11:20"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",63,0,219.22,"27-04-2025 11:18"
67236128,"BUKATIRA PS_084",,099008084,"Semuto , Nakaseke","Bukatira PS",18,0,605.83,"27-04-2025 11:10"
67236128,"BUKATIRA PS_084",,099008084,"Semuto , Nakaseke","Bukatira PS",18,20.49,605.83,"27-04-2025 11:10"
67236128,"BUKATIRA PS_084",,099008084,"Semuto , Nakaseke","Bukatira PS",17,0,626.33,"27-04-2025 11:04"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",46,2.54,923.44,"27-04-2025 10:59"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",45,0,925.98,"27-04-2025 10:59"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",45,25.73,925.98,"27-04-2025 10:58"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",44,0,951.71,"27-04-2025 10:55"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",44,24.22,951.71,"27-04-2025 10:55"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",43,3.28,975.93,"27-04-2025 10:52"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",42,19.8,979.21,"27-04-2025 10:51"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",41,0,999.01,"27-04-2025 10:48"
15715147,"BUKATIRA PS_060",,099008060,"Semuto , Nakaseke","Bukatira PS",41,21.86,999.01,"27-04-2025 10:47"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",29,7.63,456.27,"27-04-2025 10:44"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",28,2.63,463.9,"27-04-2025 10:41"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",27,0,466.53,"27-04-2025 10:38"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",27,0.63,466.53,"27-04-2025 10:37"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",26,0,467.16,"27-04-2025 10:36"
84216121,"BUKATIRA PS_158",,099008158,"Semuto , Nakaseke","Bukatira PS",42,43.62,632.5,"27-04-2025 10:33"
84216121,"BUKATIRA PS_158",,099008158,"Semuto , Nakaseke","Bukatira PS",41,0,676.12,"27-04-2025 10:29"
13217212,"BUKATIRA PS_195",,099008195,"Semuto , Nakaseke","Bukatira PS",63,12.28,219.22,"27-04-2025 10:28"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",26,42.99,467.16,"27-04-2025 10:28"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",25,0,510.15,"27-04-2025 10:10"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",34,0,144.65,"27-04-2025 09:42"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",34,0,144.65,"27-04-2025 09:42"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",34,0,144.65,"27-04-2025 09:41"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",34,25.05,144.65,"27-04-2025 09:41"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",33,0,169.7,"27-04-2025 09:39"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",33,23.65,169.7,"27-04-2025 09:38"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",32,0,193.35,"27-04-2025 09:36"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",32,24.23,193.35,"27-04-2025 09:36"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",31,0,217.57,"27-04-2025 09:35"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",31,23.88,217.57,"27-04-2025 09:33"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",30,0,241.46,"27-04-2025 09:31"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",30,22.79,241.46,"27-04-2025 09:31"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",29,0,264.25,"27-04-2025 09:29"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",29,22.19,264.25,"27-04-2025 09:28"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",28,0,286.44,"27-04-2025 09:25"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",227,9.49,472.8,"27-04-2025 09:25"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",226,0,482.29,"27-04-2025 09:23"
19626117,"BUKATIRA PS_184",,099008184,"Semuto , Nakaseke","Bukatira PS",18,11.77,489.48,"27-04-2025 09:23"
19626117,"BUKATIRA PS_184",,099008184,"Semuto , Nakaseke","Bukatira PS",17,12.36,501.25,"27-04-2025 09:22"
19626117,"BUKATIRA PS_184",,099008184,"Semuto , Nakaseke","Bukatira PS",16,0,513.61,"27-04-2025 09:20"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",226,22.56,482.29,"27-04-2025 09:19"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",225,0,504.86,"27-04-2025 09:18"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",225,73.4,504.86,"27-04-2025 09:17"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",224,0,578.26,"27-04-2025 09:09"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",224,21.29,578.26,"27-04-2025 09:08"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",223,0,599.54,"27-04-2025 09:05"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",223,0.13,599.54,"27-04-2025 09:05"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",223,0,599.54,"27-04-2025 09:04"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",223,0,599.54,"27-04-2025 09:04"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",31,23.51,2496.29,"27-04-2025 09:00"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",30,0,2519.81,"27-04-2025 08:58"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",30,22.39,2519.81,"27-04-2025 08:58"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",29,0,2542.2,"27-04-2025 08:56"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",29,25.47,2542.2,"27-04-2025 08:56"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",28,0,2567.67,"27-04-2025 08:55"
41161292,"BUKATIRA PS_168",,099008168,"Semuto , Nakaseke","Bukatira PS",28,20.61,67.67,"27-04-2025 08:53"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",92,5.04,359.35,"27-04-2025 08:52"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",91,0,364.39,"27-04-2025 08:50"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",91,11.27,364.39,"27-04-2025 08:50"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",90,0,375.66,"27-04-2025 08:49"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",90,23.84,375.66,"27-04-2025 08:49"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",89,0,399.5,"27-04-2025 08:46"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",89,0.48,399.5,"27-04-2025 08:46"
16475126,"BUKATIRA PS_178",,099008178,"Semuto , Nakaseke","Bukatira PS",89,0,399.5,"27-04-2025 08:46"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",28,49.21,286.44,"27-04-2025 08:45"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",27,0,335.64,"27-04-2025 08:41"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",27,92.47,335.64,"27-04-2025 08:41"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",26,0,428.11,"27-04-2025 08:31"
16411412,"BUKATIRA PS_180",,099008180,"Semuto , Nakaseke","Bukatira PS",55,0,794.44,"27-04-2025 08:15"
16411412,"BUKATIRA PS_180",,099008180,"Semuto , Nakaseke","Bukatira PS",55,0,794.44,"27-04-2025 08:15"
16411412,"BUKATIRA PS_180",,099008180,"Semuto , Nakaseke","Bukatira PS",55,11.19,794.44,"27-04-2025 08:14"
16411412,"BUKATIRA PS_180",,099008180,"Semuto , Nakaseke","Bukatira PS",53,0,806.54,"27-04-2025 08:12"
16411412,"BUKATIRA PS_180",,099008180,"Semuto , Nakaseke","Bukatira PS",53,0,806.54,"27-04-2025 08:11"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",26,142.16,428.11,"27-04-2025 08:11"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",25,0,570.27,"27-04-2025 07:55"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",183,21.22,748.6,"27-04-2025 07:55"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",182,0,769.82,"27-04-2025 07:51"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",182,5.28,769.82,"27-04-2025 07:51"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",181,13.78,775.1,"27-04-2025 07:49"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",180,0,788.88,"27-04-2025 07:47"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",25,48.67,570.27,"27-04-2025 07:22"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",24,0,618.94,"27-04-2025 07:17"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",24,0,618.94,"27-04-2025 07:17"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",24,90.16,618.94,"27-04-2025 07:15"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",23,23.56,709.09,"27-04-2025 07:04"
14117521,"BUKATIRA PS_030",,099008030,"Semuto , Nakaseke","Bukatira PS",22,0,732.66,"27-04-2025 07:02"
14121111,"BUKATIRA PS_044",,099008044,"Semuto , Nakaseke","Bukatira PS",5,12.19,929.52,"27-04-2025 06:54"
14121111,"BUKATIRA PS_044",,099008044,"Semuto , Nakaseke","Bukatira PS",4,0,941.72,"27-04-2025 06:53"
14121111,"BUKATIRA PS_044",,099008044,"Semuto , Nakaseke","Bukatira PS",4,12.16,941.72,"27-04-2025 06:53"
14121111,"BUKATIRA PS_044",,099008044,"Semuto , Nakaseke","Bukatira PS",3,0,953.88,"27-04-2025 06:52"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",25,13.39,510.15,"27-04-2025 06:48"
10913620,"BUKATIRA PS_080",,099008080,"Semuto , Nakaseke","Bukatira PS",24,0,523.54,"27-04-2025 06:44"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",180,11.28,788.88,"27-04-2025 06:43"
14116622,"BUKATIRA PS_018",,099008018,"Semuto , Nakaseke","Bukatira PS",179,0,800.16,"27-04-2025 06:41"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",223,2.98,599.54,"27-04-2025 06:33"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",222,19.84,602.53,"27-04-2025 06:33"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",221,0,622.37,"27-04-2025 06:31"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",221,0,622.37,"27-04-2025 06:30"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",220,25.84,623.25,"27-04-2025 06:30"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",219,24.74,649.1,"27-04-2025 06:27"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",218,0,673.84,"27-04-2025 06:25"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",218,5.5,673.84,"27-04-2025 06:24"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",217,0,679.34,"27-04-2025 06:23"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",217,23.16,679.34,"27-04-2025 06:23"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",216,0,702.5,"27-04-2025 06:20"
